Common_Nm,Species,Class,Top 30 worst,Doublechecker,Notes (include refs where applicable),Reference in Appendix,Double check completed? ,Disease Agent (to remove),Domesticated (to set as diverse),Continents,Countries
Heliotrope / potato weed,Heliotropium europaeum,Magnoliopsida,,Phil,,,1,,,EUR;AS;AF,Iran;Australia;Iran;Greece;Italy
Geranium,Pelargonium alchemilloides,Magnoliopsida,,Phil,,,1,,,AF,South Africa
Nut grass,Cyperus rotundus,Liliopsida,,Phil,,,1,,,AS,India
Chickweed,Stellaria media,Magnoliopsida,,Phil,,,1,,,EUR,Russia;Taiwan;France;Australia;China;Australia;United States;Canada;United States;United Kingdom;India;Italy;NA;NA;NA;NA
Deadnettle,Lamium maculatum,Magnoliopsida,,Phil,,,1,,,EUR;AS,Russia;Netherlands;United Kingdom;Italy;Slovenia
Queensland fruit fly,Bactrocera tryoni,Insecta,,Phil,,,1,,,OC,Australia
Giant pine scale,Marchalina hellenica,Insecta,,Phil,,,1,,,EUR,"Greece,Turkey"
Banana freckle,Phyllosticta cavendishii,Dothideomycetes,,Phil,,,1,1,,UNK,
Chestnut blight,Cryphonectria parasitica,Sordariomycetes,,Phil,,,1,1,,AS,China;Japan;North Korea;South Korea;Taiwan
Tomato potato psyllid,Bactericera cockerelli,Insecta,,Syrmalenia,CABI,,1,,,NAm,"North America and occurs mainly in the Great Plains region of the United States, from Colorado, New Mexico, Arizona and Nevada, north to Utah"
Browsing ant,Lepisiota frauenfeldi,Insecta,,Syrmalenia,https://www.agric.wa.gov.au/biosecurity/browsing-ants,,1,,,EUR,Southern Europe
Macao paper wasp,Polistes olivaceus,Insecta,,Syrmalenia,https://en.wikipedia.org/wiki/Polistes_olivaceus,,1,,,AS,India and East Asia
Red witchweed,Striga asiatica,Magnoliopsida,,Syrmalenia,https://powo.science.kew.org/,,1,,,AF;AS,Angola;Benin;Botswana;Burkina Faso;Burundi;Cameroon;Central African Republic;Comoros;Congo - Kinshasa;C√¥te d‚ÄôIvoire;Eswatini;Ethiopia;Ghana;Guinea;Guinea-Bissau;Kenya;Lesotho;Liberia;Madagascar;Malawi;Mauritius;Mozambique;Namibia;Niger;Nigeria;R√©union;Rwanda;Senegal;Seychelles;Sierra Leone;Somalia;South Africa;Sudan;Tanzania;Togo;Uganda;Zambia;Zimbabwe;Bangladesh;Bhutan;Cambodia;China;Hong Kong SAR China;Indonesia;Malaysia;Myanmar (Burma);Nepal;Oman;Pakistan;Philippines;Saudi Arabia;Singapore;Sri Lanka;Taiwan;Thailand;Vietnam;Yemen;Angola;Benin;Botswana;Burkina Faso;Burundi;Cameroon;Central African Republic;Comoros;Congo - Kinshasa;C√¥te d‚ÄôIvoire;Eswatini;Ethiopia;Ghana;Guinea;Guinea-Bissau;Kenya;Lesotho;Liberia;Madagascar;Malawi;Mauritius;Mozambique;Namibia;Niger;Nigeria;R√©union;Rwanda;Senegal;Seychelles;Sierra Leone;Somalia;South Africa;Sudan;Tanzania;Togo;Uganda;Zambia;Zimbabwe;Bangladesh;Bhutan;Cambodia;China;Hong Kong SAR China;India;Indonesia;Malaysia;Myanmar (Burma);Nepal;Oman;Pakistan;Philippines;Saudi Arabia;Singapore;Sri Lanka;Taiwan;Thailand;Vietnam;Yemen;China;India;Pakistan;South Africa;Thailand;Uganda;Vietnam;Zambia;Zimbabwe
prickly acacia,Vachellia nilotica,Magnoliopsida,,Syrmalenia,https://powo.science.kew.org/,,1,,,AF;AS,"Algeria, Angola, Assam, Bangladesh, Benin, Botswana, Burkina, Cameroon, Cape Verde, Caprivi Strip, Central African Repu, Chad, Djibouti, East Himalaya, Egypt, Eritrea, Ethiopia, Gambia, Ghana, Guinea, Guinea-Bissau, Gulf States, India, Iran, Kenya, KwaZulu-Natal, Libya, Malawi, Mali, Mauritania, Mozambique, Myanmar, Namibia, Nepal, Niger, Nigeria, Northern Provinces, Oman, Pakistan, Saudi Arabia, Senegal, Somalia, Sri Lanka, Sudan, Swaziland, Tanzania, Togo, Uganda, West Himalaya, Yemen, Zambia, Zimbabwe"
bridal creeper,Asparagus asparagoides,Liliopsida,,Syrmalenia,https://powo.science.kew.org/,,1,,,AF;AS,"Cape Provinces, Ethiopia, Free State, Kenya, KwaZulu-Natal, Lesotho, Malawi, Namibia, Northern Provinces, Swaziland, Tanzania, Uganda, Zimbabwe"
nodding thistle,Carduus platypus,Magnoliopsida,,Syrmalenia,https://powo.science.kew.org/,,1,,,EUR,Spain
(boneseed/bitou bush,Osteospermum moniliferum,Magnoliopsida,,Syrmalenia,https://powo.science.kew.org/,,1,,,AF,"Cape Provinces, Free State, KwaZulu-Natal, Lesotho, Mozambique, Northern Provinces, Zimbabwe"
St John√≠s wort,Hypericum perforatum,Magnoliopsida,,Syrmalenia,https://powo.science.kew.org/,,1,,,AF;AS;EUR,"Afghanistan, Albania, Algeria, Altay, Austria, Azores, Baleares, Baltic States, Belarus, Belgium, Bulgaria, Canary Is., Central European Rus, China North-Central, China South-Central, China Southeast, Corse, Cyprus, Czechoslovakia, Denmark, East Aegean Is., East European Russia, Finland, France, Germany, Great Britain, Greece, Hungary, Iran, Iraq, Ireland, Italy, Kazakhstan, Kirgizstan, Krasnoyarsk, Kriti, Krym, Lebanon-Syria, Madeira, Morocco, Netherlands, North Caucasus, Northwest European R, Norway, Pakistan, Palestine, Poland, Portugal, Qinghai, Romania, Sardegna, Saudi Arabia, Sicilia, South European Russi, Spain, Sudan, Sweden, Switzerland, Tadzhikistan, Transcaucasus, Tunisia, Turkey, Turkey-in-Europe, Turkmenistan, Ukraine, Uzbekistan, West Himalaya, West Siberia, Xinjiang, Yugoslavia"
horehound,Marrubium vulgare,Magnoliopsida,,Syrmalenia,https://powo.science.kew.org/,,1,,,AF;AS;EUR,"Afghanistan, Albania, Algeria, Austria, Azores, Baleares, Baltic States, Belarus, Belgium, Bulgaria, Canary Is., Cape Verde, Central European Rus, Corse, Cyprus, Czechoslovakia, Denmark, East Aegean Is., France, Germany, Great Britain, Greece, Hungary, Iran, Iraq, Italy, Kazakhstan, Kriti, Krym, Lebanon-Syria, Libya, Madeira, Morocco, Nepal, Netherlands, North Caucasus, Pakistan, Palestine, Poland, Portugal, Romania, Sardegna, Saudi Arabia, Sicilia, Sinai, South European Russi, Spain, Sweden, Switzerland, Transcaucasus, Tunisia, Turkey, Turkey-in-Europe, Turkmenistan, Ukraine, Uzbekistan, West Himalaya, Xinjiang, Yugoslavia"
giant sensitive plant,Mimosa diplotricha,Magnoliopsida,,Syrmalenia,https://powo.science.kew.org/,,1,,,SAm;NAm,"Argentina Northeast, Bolivia, Brazil North, Brazil Northeast, Brazil South, Brazil Southeast, Brazil West-Central, Colombia, Costa Rica, Cuba, Ecuador, Haiti, Honduras, Jamaica, Mexico Central, Mexico Gulf, Mexico Northeast, Mexico Northwest, Mexico Southeast, Mexico Southwest, Nicaragua, Panamá, Paraguay, Peru, Puerto Rico, Trinidad-Tobago, Venezuela"
blackberry,Rubus fruticosus,Magnoliopsida,,Melina,Unknown range,,1,,,UNK,
fireweed,Senecio madagascariensis,Magnoliopsida,,Melina,Correct - CABI,,1,,,AF,Eswatini;Madagascar;Mozambique;South Africa;Eswatini;Madagascar;Mozambique;South Africa
sicklepod,Senna obtusifolia,Magnoliopsida,,Melina,CABI (Ambiguity in Australia.... both native and introduced in Western Australia). Removed Papua New Guinea & Cambodia (No characterization in CABI);Timor-Leste (Characterization as Invasive in CABI),,1,,,NAm; AS; SAm,Honduras; Mexico; Argentina; Brazil; French Guiana; Australia; Colombia;Bolivia;United States (Hawaii)
Noogoora burr,Xanthium chinense,Magnoliopsida,,Melina,Unknown range,,1,,,UNK,
