"Rank (by # of IAS, highest to lowest)",Country name,"Country land area A (km2)(excluding inland water bodies)(World Bank, 2014)",Sovereign state,UNEP (2012) GEO region,UNEP (2012) GEO Subregion,ISO3 ISO(2016),SInv (# IAS in country),SNat (# species native in country but invasive elsewhere),"IAS asymmetry index, K",NIT (# international treaties),"SInv / A 
(# species km-2)",Maximum legislation/regulation Relevance Score in country
216,Jersey, 116 ,United Kingdom of Great Britain and Northern Ireland,Europe,Western Europe,JEY,5,2,1.8,24,4.3E-02,4
153,Jordan," 88,780 ",Jordan,West Asia,Mashriq,JOR,16,75,-4.3,15,1.8E-04,0
164,Kazakhstan," 2,699,700 ",Kazakhstan,Asia + Pacific,Central Asia,KAZ,13,100,-4.9,11,4.8E-06,3
42,Kenya," 569,140 ",Kenya,Africa,Eastern Africa,KEN,77,107,-1.8,17,1.4E-04,3
74,Kiribati, 810 ,Kiribati,Asia + Pacific,South Pacific,KIR,46,4,4.8,6,5.7E-02,0
215,"Korea, Democratic People's Republic of"," 120,410 ",Democratic People's Republic of Korea,Asia + Pacific,North East Asia,PRK,6,105,-5.5,8,5.0E-05,0
100,"Korea, Republic of"," 97,350 ",Republic of Korea,Asia + Pacific,North East Asia,KOR,32,121,-4.0,14,3.3E-04,2
217,Kuwait," 17,820 ",Kuwait,West Asia,Arabian Peninsula,KWT,5,19,-4.0,7,2.8E-04,0
229,Kyrgyzstan," 191,800 ",Kyrgyzstan,Asia + Pacific,Central Asia,KGZ,4,61,-5.4,9,2.1E-05,3
186,Lao People`s Democratic Republic," 230,800 ",Lao People's Democratic Republic,Asia + Pacific,South East Asia,LAO,10,87,-5.0,10,4.3E-05,0
136,Latvia," 62,180 ",Latvia,Europe,Central Europe,LVA,19,107,-4.6,16,3.1E-04,4
181,Lebanon," 10,230 ",Lebanon,West Asia,Mashriq,LBN,11,93,-5.0,12,1.1E-03,2
218,Lesotho," 30,360 ",Lesotho,Africa,Southern Africa,LSO,5,32,-4.7,13,1.6E-04,0
204,Liberia," 96,320 ",Liberia,Africa,Western Africa,LBR,7,55,-5.0,13,7.3E-05,0
194,Libyan Arab Jamahiriya," 1,759,540 ",Libyan Arab Jamahiriya,Africa,Northern Africa,LBY,9,80,-5.1,16,5.1E-06,0
213,Liechtenstein, 160 ,Liechtenstein,Europe,Western Europe,LIE,6,32,-4.5,11,3.8E-02,3
113,Lithuania," 62,674 ",Lithuania,Europe,Central Europe,LTU,27,112,-4.2,16,4.3E-04,4
171,Luxembourg," 2,590 ",Luxembourg,Europe,Western Europe,LUX,12,44,-4.0,18,4.6E-03,4
235,Macao (Macau), 30 ,China,Asia + Pacific,North East Asia,MAC,3,18,-4.7,14,1.0E-01,0
205,Macedonia," 25,220 ",The former Yugoslav Republic of Macedonia,Europe,Central Europe,MKD,7,63,-5.1,14,2.8E-04,0
76,Madagascar," 581,795 ",Madagascar,Africa,Western Indian Ocean,MDG,45,68,-2.0,16,7.7E-05,1
126,Malawi," 94,280 ",Malawi,Africa,Southern Africa,MWI,22,59,-3.4,12,2.3E-04,2
69,Malaysia," 328,550 ",Malaysia,Asia + Pacific,South East Asia,MYS,49,125,-3.3,11,1.5E-04,1
182,Maldives, 300 ,Maldives,Asia + Pacific,South Asia,MDV,11,9,-0.3,9,3.7E-02,0
