"Destin_cont","Agriculture","Authorities-Stakeholders","Diverse","Environment","Fishery","Forestry","Health","Public and social welfare"
"AF",3451.56334532333,1314.18052582,191.06649962,2145.93021918,0,0,0,0
"AS",6846.26904184333,385.84872891,36360.41631202,201.17084035,5.91245725,0.00036289,1.69918916,2183.75224731
"EUR",10239.2976668633,1343.66154243,1955.13766292,5.6147401,13.74478789,154.80962718,1682.44938237,185.50641157
"NAm",37596.41673208,15989.57895967,35444.221664315,215.13123966,468.56553136,13985.61211202,23.07496083,277457.85028786
"OC",7343.78700494,1183.91133213,620.13274708,186.62094764,0,265.738709,82.45046877,11.69063185
"SA",3389.91324772,137.42168212,3966.442231735,0.00009358,0,1.658127,20.82266522,1.71630112
