"Destin_cont","Damage","Management","Mixed"
"AF",5305.6030477,1024.68107591,772.456466333333
"AS",30158.32526957,1749.45700949,14077.2869006733
"EUR",13573.27481283,1294.4515871,712.495421393333
"NAm",336851.32387019,20590.752906305,23738.3747113
"OC",7958.99901905,1683.60233228,51.73049008
"SA",5999.71558363,1518.152491765,0.1062731
