"Destin_cont","mil","mil_per_pub"
"AF",7102.74058994333,221.960643435729
"AS",45985.0691797333,528.564013560153
"EUR",15580.2218213233,112.08792677211
"NAm",381180.451487795,2296.26778004696
"OC",9694.33184141,84.2985377513913
"SA",7517.974348495,197.841430223553
