"Origin_cont","mil","mil_per_pub"
"AF",59997.531625675,370.355133491821
"AS",327484.594772653,1217.41485045596
"EUR",35541.6699221208,238.534697463898
"NAm",21178.2935529583,108.052518127338
"OC",4426.4175248225,58.2423358529276
"SA",18432.28187047,126.248505962123
