"Origin_cont","Damage","Management","Mixed"
"AF",41485.6789626875,7560.7067141075,10951.14594888
"AS",300483.416320219,6772.64387338917,20228.534579045
"EUR",25528.8925128958,7901.31048276333,2111.46692646167
"NAm",17805.1064432375,2222.84512978417,1150.34197993667
"OC",3551.87465758667,830.157570785833,44.38529645
"SA",10992.2727063433,2573.43363202,4866.57553210667
