"Origin_cont","Destin_cont","Damage","Management","Mixed"
"AS","AF",2105.31510553,79.08347846,0
"EUR","AF",0.00376742,0.98621823,0
"NAm","AF",170.1807426,308.983821225,312.672470666667
"OC","AF",2144.31077655,126.1003474,0
"SA","AF",885.7926556,508.655294745,459.783995666667
"AF","AS",22624.31588677,1239.12851142,10900.4191152
"AS","AS",1343.529713965,352.94770005,157.63926001
"EUR","AS",0.088887585,0.0146597,1.53548101
"NAm","AS",1592.91809155,152.413175455,486.332619881667
"SA","AS",4597.4726897,4.952962865,2531.36042457167
"AF","EUR",407.635054093333,17.2042047475,3.7211904
"AS","EUR",788.828409958333,868.709331655833,64.912941285
"EUR","EUR",4107.626428755,96.7413112816667,10.1201319516667
"NAm","EUR",7488.30541014,210.243897379167,320.878127238333
"OC","EUR",675.967758113333,6.0819347375,0.01987645
"SA","EUR",104.91175177,95.4709072983333,312.843154068333
"AF","NAm",11108.1271873033,4778.2883847525,44.36542
"AS","NAm",294133.558659778,5316.1234276275,20003.5101205
"EUR","NAm",18238.390052555,7614.43203744083,2095.2622455
"NAm","NAm",8068.388218645,1334.85254108417,9.227378
"OC","NAm",601.022704093333,258.038027048333,44.36542
"SA","NAm",4701.837047815,1289.01848835167,1541.6441273
"AF","OC",2031.16396032083,121.143375955833,2.64022328
"AS","OC",1998.2455820675,152.9700072675,2.36598415
"EUR","OC",3068.84604058083,188.2285609325,4.549068
"NAm","OC",354.3993286175,141.247065554167,21.23138415
"OC","OC",16.63608283,439.88752144,0
"SA","OC",489.708024633333,640.12580113,20.9438305
"AF","SA",5314.4368742,1404.07032138167,0
"AS","SA",113.93884892,2.80992832833333,0.1062731
"EUR","SA",113.937336,0.907695178333333,0
"NAm","SA",130.914651685,75.1046290866667,0
"OC","SA",113.937336,0.04974016,0
"SA","SA",212.550536825,35.21017763,0
"AF","AF",0,0.87191585,0
